test_set_index,original_csv_index,prompt,url,rater,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
0,2714,"coordinate plane, line y = x + 1 with y-intercept at 1",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JmrM50cIsCtxJNPhLe3reW7VbktrD5.svg,B,Yes,Yes,Yes,Yes,It is clearly labeled,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1,417,parallelogram with base 6 units and slanted side 4 units labeled,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-L136YSgBY9rYhxzI8ESC0bjrmc51DF.svg,B,Yes,Yes,Yes,Yes,The diagram is clear,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes
4,1174,"box plot, Dataset B: minimum 8, Q1 15, median 22, Q3 28, maximum 38",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-v5DiKSNdLbQ2cIBFTG1c58GHWyDhR9.svg,B,Yes,No,Yes,Yes,,Yes,No,N/A,No,Yes,N/A,Yes,Yes
6,2637,"square pyramid net on grid, square base 4 by 4, four triangular faces each with base 4 and height 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-c94rfjSftsCXbv0bLDYzXEOOTwiZ7p.svg,B,Yes,Yes,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,No
8,3410,"shopping scene with $60 cash, food packages showing $5.29 per pound, and two water bottles at $2.49 each",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ipOYvVj5wfxagGEd84nbyp7xUESNHX.svg,B,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,No,Yes,No
9,1883,"histogram, hours of sleep for high school students, 6-10 hours range",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-yU61SP7BjsChsBGfJ8thJ7jXGfCSgm.svg,B,Yes,No,No,No,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
16,2454,"rotation, point P around center C by 60 degrees counterclockwise, show both original point P and rotated point P'",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DU6xcIZYjZFA80WLMxkheEGTaro1Jj.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17,255,T-shaped figure decomposed into rectangles with measurements,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SZ8fUT5bQMrSr5zaR2yeU56Mp3wKgE.svg,B,No,Yes,No,No,,No,Yes,No,No,No,Yes,No,No
18,3659,one red heart and one blue triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-enJ32MM362gfBe0gUuEuLf55VZXap0.svg,B,Yes,Yes,Yes,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
19,753,"rectangular prism made of unit cubes, 3x3x3 cube",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-TxBuawhB2RwhJfWOR15jrLWcDv4Ygd.svg,B,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
23,1996,"rectangular prism net, showing 6 rectangles: two 4x3, two 4x2, two 3x2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4LLUaBLT1piTPlkiIB7ic4szuokvsN.svg,B,Yes,No,Yes,No,,No,No,Yes,Yes,No,No,Yes,No
24,3090,"bar graph, Pet Store Animals. Dogs: 45, Cats: 30, Birds: 25, Fish: 60. Scale by 5.",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ngnj8V2293ypDoeuFKICh7oG4H05T7.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes
25,843,"number line, 0 to 1, fourths",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pXbrHPeaRRq3qkvlDsRi0Bzn3PSh4R.svg,B,Yes,N/A,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
27,4102,"coordinate grid, -6 to 6, no symbols at center",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ONeMZiZqdsq6rYsUzf4gzecYhPa4PA.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,No,N/A,No,No
28,4316,"line graph, Crime Rate vs Population: Population 50000 Crime Rate 30, Population 100000 Crime Rate 35, Population 150000 Crime Rate 32, Population 200000 Crime Rate 28, Population 250000 Crime Rate 25 per 1000 people",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mUfg38cJu3DCO2P3mlpbk6frv1GA4x.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,No,Yes
29,881,"triangle with sides 9, 6, and 7, perpendicular height 4 from side length 9 to opposite vertex",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-v6WKSpvtaSd1T6T5yUKnJl3a0ufmrr.svg,B,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,1029,"coordinate grid showing transformation maze: start with two parallel horizontal lines at y=1 and y=3, then translate right 4 units, then reflect over y-axis, then rotate 90 degrees clockwise around origin, show all steps with arrows and labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tsNdTL1lGoJBVpmwTIC6Cjgt6Zn48s.svg,B,No,Yes,Yes,Yes,,Yes,Yes,No,No,No,Yes,No,No
31,3174,"triangle with angles 65°, 47°, and unknown angle",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ciYQAJxejr7GUBhh4DNGElHKACscvx.svg,B,Yes,No,Yes,No,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
35,2661,hand showing open circle gesture vs closed fist for inequality symbols,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-BvzHBo62fIblwLM8CXRmNWMe7qWJFi.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
36,4272,"grid with visible gridlines, basic composite shape made of rectangles with clear square units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QaWcY7Hcybhh1UBCVh6vEfBwPkktki.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,Yes
38,676,"fraction bars, 15/6",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Qy3PZjn46BWlBGLdXkZg9zoxtuBwKB.svg,B,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes
39,2645,Two rectangular prisms attached. First prism: 3 cubes by 4 cubes by 2 cubes. Second prism: 3 cubes by 2 cubes by 4 cubes.,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-GPDo4Qt2hIlftstkJBrWtVk0ys4xXO.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,Yes,No,N/A,No
40,435,"coordinate plane, line segment AB from A(2,3) to B(6,1), and its 180-degree rotation around midpoint",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Hg2FqqxKhPz2ZWVzhxghcoVO8MeD8m.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
42,3434,"grid squares, 3x3 square made of unit squares, labeled Step 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Nies7AUvOFUtBXgoZl5UFcyZOAOm8s.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
44,1643,"coordinate plane, line through origin with points at (1,3), (2,6), and (4,12) clearly labeled, axes labeled x and y, grid lines visible, clean simple design",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Ddub33dQ30orkVkwvcPM7ANoDOHuEl.svg,B,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45,4987,"two similar triangles ABC and DEF, triangle ABC has side AB = 7 cm and angle C = 58°, show corresponding parts",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Rb66zitcBbok9DFZf0oC9UUguSgLt8.svg,B,No,Yes,No,Yes,,No,Yes,Yes,Yes,No,Yes,No,Yes
46,3836,"stacked rectangular prisms forming step shape, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-hbaIwk8ORQGAiZCuYM7s4QZNcohDyi.svg,B,Yes,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
48,1651,"coordinate plane showing two intersecting lines with intersection at origin, forming four angles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vmqPTh5rYN1o7F0dUAsYCZZNPRp6NK.svg,B,No,Yes,No,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes
