test_set_index,original_csv_index,prompt,url,is_shared,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
2,2424,"two separate rectangular prisms side by side, left prism 3×2×1, right prism 2×2×1",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mpB5CsJg7BhEqiJNXbct1FpCC4KtiM.svg,False,Yes,No,Yes,Yes,Not Applicabile,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
3,3708,"circles arranged in rows, 12 circles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4EvsTokTluRGvfgu8kXXkMw0Z9fPub.svg,False,Yes,No,,,The diagram is simple to assess,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
5,1319,two similar but different coffee mugs,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jOXU9CWDg0XbzI49Jx4LY3iPwI42u7.svg,False,Yes,No,No,No,The diagram is easy to follow,Yes,No,N/A,No,No,No,N/A,N/A
6,2637,"square pyramid net on grid, square base 4 by 4, four triangular faces each with base 4 and height 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-c94rfjSftsCXbv0bLDYzXEOOTwiZ7p.svg,True,Yes,Yes,No,No,The diagram could have had a number labelling on the sides,Yes,No,N/A,No,Yes,N/A,N/A,No
7,2520,"two congruent quadrilaterals, first quadrilateral JKLM as a trapezoid on left side, second quadrilateral J'K'L'M' as same trapezoid rotated on right side",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4jdBusxJWqG5CcUAh92u7YoIUX9SSB.svg,False,No,No,Yes,Yes,IT IS STRAIGHT Forward,Yes,No,No,Yes,No,No,No,No
10,2488,cube net showing all 6 faces unfolded in a cross pattern,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-K2cldAP9FZAz7jRqyE06QB3hOG1UJL.svg,False,Yes,Yes,,,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
11,2677,"bar chart, showing capacity constraints like maximum 30 students per class",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mRKFDVScAcw9kpL9iTOtzwtTz6PD3t.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
12,2028,"number line, 0 to 2, partitioned into sixths",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-epD6Kr4dAUHvbnabmPk7pj1UEdfljC.svg,False,Yes,,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,No,No
13,3388,"grid, square 8x8 units labeled Square A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tEGRjCQemx2hrxSoJ3EMba4uRtX9Ec.svg,False,Yes,No,,,,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes
14,3593,"100-square grid with 25 squares shaded, labeled '25%' and '25 out of 100'",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xLecwaIL1fxJxVmDyyVXlbkqBr8eVH.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes
15,405,"definition card, Multiplication (English) / Miltiplikasyon (Haitian Creole): a way to represent the total number of objects when you have a certain number of equal groups. For example, 3 groups of 4 objects each can be represented as multiplication. / yon fason pou reprezante kantite total objè yo lè ou gen yon sètèn kantite gwoup egal. Egzanp, 3 gwoup 4 objè yo chak la ka reprezante kom miltiplikasyon.",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DQxPLF5svugZnWk42FLskGutS7tmcE.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,No
16,2454,"rotation, point P around center C by 60 degrees counterclockwise, show both original point P and rotated point P'",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DU6xcIZYjZFA80WLMxkheEGTaro1Jj.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,273,small clean 3D pentagonal prism with 5-sided bases,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-l7lfduEhFZ8aer6wOgHlDLJbj2k9oz.svg,False,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
21,2984,"two circles both centered at point C, with radii of different sizes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-W1c3u0zo0gEi6V5EGinG5Eu7O4mCmi.svg,False,Yes,No,Yes,,,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes
22,3132,"coordinate plane, triangle with translation 4 units right and 2 units up, show both original and image with arrow",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-43ckAsghwZ0dE1JIyj0kYPXBYikRw8.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,Yes
26,184,5 groups of 2 dots each,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JBPAvJT62DeYH2UgsvaE6rTqjXFvwI.svg,False,Yes,Yes,,,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
32,1647,two perpendicular lines intersecting to form four right angles,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QziCRPWmRIgJHCTMCYbO4AwdVIyOKb.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
33,4352,dot plot showing data points from 1 to 10 with multiple dots stacked,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Y3hjW0M2Mq29vDbc4uC3ixwL1s3FKl.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
34,2428,"number line showing fraction as division, 1 ÷ 6",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-fptfTN6GZJGC6Nbt6YtbWJZUKDAR7y.svg,False,Yes,No,Yes,Yes,,No,No,No,No,No,No,No,No
36,4272,"grid with visible gridlines, basic composite shape made of rectangles with clear square units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QaWcY7Hcybhh1UBCVh6vEfBwPkktki.svg,True,Yes,No,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,Yes
37,4739,"coordinate plane, rectangle RSTU with vertices R(-2,-1), S(3,-1), T(3,2), U(-2,2), and translated rectangle R'S'T'U' with vertices R'(-7,-5), S'(-2,-5), T'(-2,-2), U'(-7,-2)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-3SiHjOLArsTxQvVxaYGIJK9Uy4D6pa.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No
39,2645,Two rectangular prisms attached. First prism: 3 cubes by 4 cubes by 2 cubes. Second prism: 3 cubes by 2 cubes by 4 cubes.,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-GPDo4Qt2hIlftstkJBrWtVk0ys4xXO.svg,True,Yes,Yes,,,,Yes,No,N/A,No,Yes,No,N/A,No
